,rurality,s1 score,s2 score,s3 score,uw gamsat,w gamsat,offer uni,offer uni gpa,offer uni gamsat,offer uni place type,offer uni preference,interviewed?,interview uni,interview uni gpa,interview uni gamsat,places selected,interview uni preference,deakin bonus,anu bonus,mq bonus (gpa),casper quartile,uq rmp tier,gemsas over other?,interview opinion,notes,year,interview prep hours,other rejections,marker,interview opinion discrete,interview prep hours discrete
513,Non-Rural,71,70,66,69.0,68.25,Macquarie University,6.81,68.25,FFP,5.0,Yes,,,,"['CSP', 'BMP', 'FFP']",,0,0,0,3rd,,Yes,Very well,,2023,11-25,,FFP,5,2.0
514,Non-Rural,62,66,74,67.33,69.0,Deakin University,6.99,69.0,CSP,1.0,Yes,,,,"['CSP', 'BMP', 'FFP']",,4,2,0,4th,,Yes,Well,,2023,11-25,,CSP,4,2.0
515,Non-Rural,54,75,78,69.0,71.25,Deakin University,6.917,71.25,BMP,3.0,No,The University of Notre Dame Sydney,6.833,69.0,"['CSP', 'BMP', 'FFP']",1.0,0,0,0,3rd,,No,Well,,2023,26-50,Griffith,BMP,4,3.0
516,Non-Rural,68,69,81,72.67,74.75,Deakin University,6.94,74.75,CSP,4.0,No,The University of Queensland (Metro),6.68,72.67,"['CSP', 'BMP']",3.0,4,0,0,,,Yes,Unsure,,2023,250+,,CSP,3,6.0
517,Non-Rural,63,69,85,72.33,75.5,,,,,,,The University of Queensland (RMP),6.75,72.33,"['CSP', 'BMP', 'FFP']",2.0,0,0,0,2nd,Tier 3,,Very poorly,,2023,0-5,"ANU, Griffith, UNDS, UWA","['CSP', 'BMP', 'FFP']",1,0.0
518,Non-Rural,71,68,77,72.0,73.25,The University of Melbourne,6.925,72.0,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,2nd,,Unsure,Unsure,,2023,26-50,,CSP,3,3.0
519,Non-Rural,64,82,74,73.33,73.5,The University of Melbourne,6.88,73.33,CSP,1.0,Yes,,,,['CSP'],,0,0,0,,,Yes,Unsure,,2023,26-50,,CSP,3,3.0
520,Non-Rural,58,75,63,65.33,64.75,Macquarie University,6.9,64.75,FFP,1.0,Yes,,,,['FFP'],,0,0,3,4th,,Yes,Well,,2023,51-100,,FFP,4,4.0
521,Non-Rural,67,77,69,71.0,70.5,,,,,,,The University of Wollongong,5.5,70.5,"['CSP', 'BMP', 'FFP']",2.0,0,0,0,2nd,,,Well,,2023,11-25,"ANU, Deakin, Griffith, UniMelb","['CSP', 'BMP', 'FFP']",4,2.0
522,Non-Rural,70,78,84,77.33,79.0,The University of Melbourne,7.0,77.33,CSP,1.0,Yes,,,,['CSP'],,0,0,0,,,Unsure,Unsure,,2023,11-25,,CSP,3,2.0
523,Rural,60,65,64,63.0,63.25,,,,,,,The University of Notre Dame Sydney,6.896,63.0,"['CSP', 'BMP']",1.0,6,0,0,1st,,,Unsure,,2023,6-10,"ANU, Deakin, Griffith, UniMelb, UoW","['CSP', 'BMP']",3,1.0
524,Non-Rural,68,65,65,66.0,65.75,Deakin University,6.953,65.75,CSP,3.0,No,The University of Notre Dame Sydney,6.953,66.0,"['CSP', 'BMP']",2.0,0,0,0,3rd,,Unsure,Very well,,2023,26-50,,CSP,5,3.0
525,Non-Rural,54,73,81,69.33,72.25,Griffith University,6.913,72.25,CSP,1.0,Yes,,,,['CSP'],,0,0,0,4th,,Yes,Well,,2023,250+,,CSP,4,6.0
526,Non-Rural,62,68,72,67.33,68.5,The University of Queensland (RMP),6.786,67.33,CSP,3.0,Yes,,,,"['CSP', 'BMP', 'FFP']",,2,0,0,4th,Tier 3,Yes,Poorly,"preference #1 uq darling downs first, got rocky.",2023,26-50,,CSP,2,3.0
527,Non-Rural,76,74,69,73.0,72.0,The University of Melbourne,7.0,73.0,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,,,Yes,Unsure,,2023,26-50,,CSP,3,3.0
528,Rural,55,55,56,55.33,55.5,The University of Queensland (RMP),5.5,55.33,BMP,1.0,Yes,,,,"['CSP', 'BMP']",,6,0,5,3rd,Tier 1 (CQ-WB RMP),Yes,Very well,,2023,26-50,,BMP,5,3.0
529,Non-Rural,68,87,90,81.67,83.75,The University of Melbourne,6.96,81.67,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,,,Yes,Unsure,,2023,11-25,,CSP,3,2.0
530,Non-Rural,67,73,73,71.0,71.5,The University of Melbourne,6.98,71.0,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,2,0,0,4th,,No,Unsure,,2023,26-50,,CSP,3,3.0
531,Non-Rural,62,76,63,67.0,66.0,,,,,,,The University of Western Australia,7.0,66.0,['CSP'],1.0,0,0,0,,,,Very well,phd,2023,26-50,UniMelb,['CSP'],5,3.0
532,Non-Rural,68,76,69,71.0,70.5,The University of Melbourne,6.8,71.0,CSP,1.0,Yes,,,,"['CSP', 'BMP', 'FFP']",,0,0,0,,,Yes,Well,,2023,0-5,,CSP,4,0.0
533,Rural,56,57,59,57.33,57.75,The University of Melbourne,6.98,57.33,BMP,1.0,Yes,,,,"['CSP', 'BMP']",,8,0,3,,Tier 3,Unsure,Well,,2023,51-100,,BMP,4,4.0
534,Non-Rural,73,82,75,76.67,76.25,The University of Melbourne,6.593,76.67,CSP,1.0,Yes,,,,"['CSP', 'BMP', 'FFP']",,0,0,0,,,Yes,Unsure,,2023,51-100,,CSP,3,4.0
535,Non-Rural,77,71,71,73.0,72.5,The University of Melbourne,6.95,73.0,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,,,Yes,Poorly,,2023,51-100,,CSP,2,4.0
536,Non-Rural,66,68,63,65.67,65.0,Macquarie University,6.896,65.0,FFP,1.0,Yes,,,,"['CSP', 'BMP', 'FFP']",,2,2,0,3rd,,Yes,Well,,2023,11-25,,FFP,4,2.0
537,Non-Rural,68,67,74,69.67,70.75,The University of Melbourne,6.865,69.67,BMP,1.0,Yes,,,,['BMP'],,0,0,0,,,Yes,Well,,2023,51-100,,BMP,4,4.0
538,Non-Rural,61,77,66,68.0,67.5,The University of Queensland (RMP),6.84,68.0,CSP,3.0,Yes,,,,"['CSP', 'BMP', 'FFP']",,2,0,0,4th,Tier 3,Yes,Unsure,,2023,6-10,,CSP,3,1.0
539,Non-Rural,66,68,84,72.67,75.5,Griffith University,6.697,75.5,CSP,2.0,No,The University of Wollongong,5.5,75.5,"['CSP', 'BMP']",1.0,0,0,0,3rd,,Yes,Unsure,"moderate portfolio, grif-gc campus",2023,11-25,,CSP,3,2.0
540,Non-Rural,62,75,71,69.33,69.75,The University of Melbourne,6.5,69.33,CSP,3.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,,,Yes,Unsure,,2023,26-50,,CSP,3,3.0
541,Non-Rural,56,70,73,66.33,68.0,The University of Queensland (RMP),6.948,66.33,CSP,1.0,Yes,,,,"['CSP', 'BMP', 'FFP']",,0,0,0,3rd,Tier 3,Yes,Well,uqrmp- bundy/rocky,2023,26-50,,CSP,4,3.0
542,Non-Rural,69,74,69,70.67,70.25,The University of Wollongong,5.5,70.25,CSP,1.0,Yes,,,,"['CSP', 'BMP', 'FFP']",,2,0,0,4th,,Yes,Very well,,2023,51-100,,CSP,5,4.0
543,Non-Rural,66,65,99,76.67,82.25,The University of Queensland (Metro),6.95,76.67,CSP,1.0,Yes,,,,['CSP'],,0,0,0,,,Unsure,Unsure,,2023,11-25,,CSP,3,2.0
544,Non-Rural,66,77,72,71.67,71.75,,,,,,,The University of Melbourne,6.68,71.67,"['CSP', 'BMP']",1.0,0,0,0,2nd,,,Unsure,,2023,26-50,"ANU, Deakin, UNDS, UQ, UoW","['CSP', 'BMP']",3,3.0
545,Non-Rural,57,62,75,64.67,67.25,Griffith University,7.0,67.25,BMP,3.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,2nd,,Unsure,Well,,2023,26-50,,BMP,4,3.0
546,Non-Rural,76,78,97,83.67,87.0,,,,,,,The University of Melbourne,6.89,83.67,['CSP'],1.0,0,0,0,,,,Well,,2023,51-100,"ANU, Deakin",['CSP'],4,4.0
547,Non-Rural,66,68,79,71.0,73.0,The University of Melbourne,7.0,71.0,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,,,Unsure,Well,,2023,11-25,,CSP,4,2.0
548,Rural,51,52,77,60.0,64.25,Griffith University,6.5,64.25,BMP,1.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,,,Yes,Very well,,2023,26-50,,BMP,5,3.0
549,Non-Rural,62,72,74,69.33,70.5,,,,,,,The University of Wollongong,5.5,70.5,"['CSP', 'BMP']",1.0,4,2,0,4th,,,Unsure,,2023,26-50,"ANU, Deakin, Griffith, UNDF, UNDS","['CSP', 'BMP']",3,3.0
550,Non-Rural,67,71,83,73.67,76.0,The University of Melbourne,6.736,73.67,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,0,2,0,3rd,,Yes,Well,"gam, strong portfolio",2023,51-100,,CSP,4,4.0
551,Non-Rural,71,72,65,69.33,68.25,,,,,,,The University of Notre Dame Sydney,6.57,69.33,['CSP'],1.0,0,0,3,4th,,,Well,,2023,0-5,MQ,['CSP'],4,0.0
552,Non-Rural,55,73,69,65.67,66.5,The University of Queensland (RMP),7.0,65.67,CSP,1.0,Yes,,,,"['CSP', 'BMP', 'FFP']",,4,0,0,4th,Tier 3,Yes,Very well,,2023,51-100,,CSP,5,4.0
553,Non-Rural,73,81,91,81.67,84.0,The University of Melbourne,6.9,81.67,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,4th,,Yes,Well,,2023,51-100,,CSP,4,4.0
554,Non-Rural,62,68,82,70.67,73.5,The University of Notre Dame Sydney,6.74,70.67,CSP,1.0,Yes,,,,"['CSP', 'BMP', 'FFP']",,2,2,0,4th,,Yes,Well,,2023,11-25,,CSP,4,2.0
555,Non-Rural,72,71,85,76.0,78.25,Australian National University,6.89,78.25,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,,,Unsure,Well,,2023,51-100,,CSP,4,4.0
556,Non-Rural,66,75,91,77.33,80.75,Deakin University,6.927,80.75,BMP,1.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,3rd,,No,Unsure,,2023,11-25,,BMP,3,2.0
557,Non-Rural,57,71,80,69.33,72.0,Macquarie University,6.944,72.0,FFP,6.0,No,The University of Melbourne,7.0,69.33,['CSP'],2.0,0,0,0,1st,,Yes,Unsure,,2023,26-50,"Deakin, Griffith, UQ",FFP,3,3.0
558,Non-Rural,63,66,79,69.33,71.75,Deakin University,6.22,71.75,BMP,4.0,No,The University of Wollongong,5.5,71.75,"['CSP', 'BMP']",2.0,0,0,0,3rd,,Yes,Well,,2023,26-50,UniMelb,BMP,4,3.0
559,Non-Rural,58,81,57,65.33,63.25,The University of Notre Dame Sydney,6.91,65.33,CSP,1.0,Yes,,,,"['CSP', 'BMP', 'FFP']",,0,0,0,4th,,Yes,Unsure,,2023,11-25,,CSP,3,2.0
560,Non-Rural,66,71,96,77.67,82.25,,,,,,,Australian National University,6.29,82.25,"['CSP', 'BMP', 'FFP']",3.0,0,0,0,,,,Well,offered a guaranteed full fee med place at uni melb,2023,26-50,"Griffith, MQ, UNDS","['CSP', 'BMP', 'FFP']",4,3.0
561,Non-Rural,70,66,83,73.0,75.5,The University of Melbourne,6.85,73.0,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,,,Yes,Unsure,,2023,0-5,,CSP,3,0.0
562,Non-Rural,72,68,80,73.33,75.0,The University of Melbourne,6.875,73.33,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,2,0,0,,,Yes,Well,,2023,11-25,,CSP,4,2.0
563,Rural,73,69,76,72.67,73.5,The University of Notre Dame Sydney,6.5,72.67,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,3rd,,No,Well,,2023,0-5,,CSP,4,0.0
564,Non-Rural,59,73,69,67.0,67.5,The University of Melbourne,6.78,67.0,CSP,1.0,Yes,,,,"['CSP', 'BMP', 'FFP']",,6,0,0,4th,,Yes,Unsure,gam,2023,51-100,,CSP,3,4.0
565,Rural,53,59,69,60.33,62.5,Deakin University,6.96,62.5,BMP,2.0,No,The University of Melbourne,6.96,60.33,"['CSP', 'BMP']",1.0,10,0,0,,,Yes,Unsure,,2023,26-50,,BMP,3,3.0
566,Non-Rural,65,83,65,71.0,69.5,The University of Melbourne,6.851,71.0,BMP,3.0,No,Griffith University,6.844,69.5,"['CSP', 'BMP']",1.0,0,0,0,,,No,Very well,,2023,6-10,UQ,BMP,5,1.0
567,Non-Rural,63,77,77,72.33,73.5,,,,,,,The University of Wollongong,5.5,73.5,"['CSP', 'BMP']",3.0,0,0,0,4th,,,Well,above average portfolio,2023,11-25,"ANU, UNDF, UWA","['CSP', 'BMP']",4,2.0
568,Non-Rural,60,69,60,63.0,62.25,The University of Wollongong,5.5,62.25,CSP,2.0,Yes,,,,"['CSP', 'BMP']",,4,0,0,4th,,Yes,Well,strong diverse portfolio (imo),2023,26-50,,CSP,4,3.0
569,Non-Rural,65,79,74,72.67,73.0,Australian National University,6.87,73.0,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,0,2,0,4th,,No,Well,,2023,51-100,,CSP,4,4.0
570,Non-Rural,77,70,77,74.67,75.25,The University of Melbourne,6.76,74.67,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,1st,,Yes,Poorly,,2023,0-5,,CSP,2,0.0
571,Non-Rural,63,61,65,63.0,63.5,Deakin University,6.57,63.5,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,10,0,0,,,Yes,Well,,2023,11-25,,CSP,4,2.0
572,Rural,72,67,73,70.67,71.25,The University of Melbourne,6.85,70.67,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,2nd,,Unsure,Unsure,,2023,6-10,,CSP,3,1.0
573,Non-Rural,68,90,73,77.0,76.0,The University of Melbourne,6.73,77.0,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,0,2,0,4th,,Yes,Well,,2023,6-10,,CSP,4,1.0
574,Non-Rural,58,72,68,66.0,66.5,The University of Notre Dame Fremantle,6.979,66.0,CSP,2.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,4th,,Yes,Poorly,no und bonuses,2023,101-250,,CSP,2,5.0
575,Rural,59,60,63,60.67,61.25,Griffith University,6.715,61.25,BMP,1.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,,,Unsure,Well,,2023,11-25,,BMP,4,2.0
576,Non-Rural,69,69,67,68.33,68.0,The University of Notre Dame Fremantle,6.56,68.33,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,4th,,Yes,Well,wa residency scheme,2023,26-50,,CSP,4,3.0
577,Non-Rural,65,73,62,66.67,65.5,Deakin University,7.0,65.5,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,10,0,0,4th,,Yes,Unsure,,2023,0-5,,CSP,3,0.0
578,Non-Rural,60,71,66,65.67,65.75,The University of Wollongong,5.5,65.75,CSP,3.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,3rd,,Yes,Well,strong portfolio,2023,51-100,,CSP,4,4.0
579,Non-Rural,62,67,69,66.0,66.75,,,,,,,Deakin University,6.708,66.75,"['CSP', 'BMP']",1.0,8,0,0,,,,Very well,,2023,11-25,"ANU, Griffith, UniMelb, UQ, UWA","['CSP', 'BMP']",5,2.0
580,Non-Rural,59,81,55,65.0,62.5,,,,,,,The University of Notre Dame Fremantle,6.85,65.0,"['CSP', 'BMP']",1.0,0,0,0,4th,,,Unsure,wa residency,2023,0-5,UoW,"['CSP', 'BMP']",3,0.0
581,Non-Rural,59,83,60,67.33,65.5,The University of Queensland (RMP),7.0,67.33,CSP,2.0,Yes,,,,"['CSP', 'BMP']",,0,2,0,4th,Tier 3,Yes,Poorly,uqrmp - bundy,2023,51-100,,CSP,2,4.0
582,Rural,66,75,68,69.67,69.25,Deakin University,7.0,69.25,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,16,0,0,,,Yes,Poorly,rts tier 1,2023,101-250,,CSP,2,5.0
583,Non-Rural,69,75,70,71.33,71.0,The University of Melbourne,6.919,71.33,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,,,Yes,Unsure,,2023,51-100,,CSP,3,4.0
584,Non-Rural,67,76,71,71.33,71.25,The University of Queensland (RMP),7.0,71.33,CSP,1.0,Yes,,,,"['CSP', 'BMP', 'FFP']",,0,0,0,4th,Tier 3,Yes,Well,uqrmp toowoomba top preference,2023,26-50,,CSP,4,3.0
585,Non-Rural,64,68,70,67.33,68.0,The University of Melbourne,7.0,67.33,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,2,0,0,,Tier 3,Yes,Well,,2023,11-25,,CSP,4,2.0
586,Non-Rural,63,74,62,66.33,65.25,,,,,,,The University of Notre Dame Sydney,6.884,66.33,"['CSP', 'BMP', 'FFP']",1.0,0,0,0,4th,,,Well,,2023,0-5,ANU,"['CSP', 'BMP', 'FFP']",4,0.0
587,Non-Rural,59,80,74,71.0,71.75,,,,,,,The University of Melbourne,6.89,71.0,"['CSP', 'BMP']",1.0,0,0,0,3rd,,,Unsure,,2023,51-100,"ANU, Deakin, Griffith, UNDS, UQ","['CSP', 'BMP']",3,4.0
588,Non-Rural,67,60,75,67.33,69.25,,,,,,,Deakin University,6.948,69.25,['CSP'],1.0,4,0,0,,,,Unsure,,2023,26-50,"ANU, Griffith, UniMelb, UQ, UWA",['CSP'],3,3.0
589,Non-Rural,67,70,81,72.67,74.75,The University of Melbourne,7.0,72.67,BMP,1.0,Yes,,,,"['CSP', 'BMP']",,2,0,0,,,Yes,Unsure,,2023,51-100,,BMP,3,4.0
590,Non-Rural,62,68,73,67.67,69.0,The University of Queensland (Metro),7.0,67.67,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,,,Yes,Unsure,honours,2023,6-10,,CSP,3,1.0
591,Non-Rural,60,78,62,66.67,65.5,,,,,,,The University of Notre Dame Fremantle,6.44,66.67,"['CSP', 'BMP', 'FFP']",6.0,4,0,0,4th,,,Very well,,2023,51-100,,"['CSP', 'BMP', 'FFP']",5,4.0
592,Non-Rural,73,64,75,70.67,71.75,The University of Melbourne,6.868,70.67,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,4th,,Yes,Well,,2023,11-25,,CSP,4,2.0
593,Non-Rural,64,74,65,67.67,67.0,The University of Notre Dame Fremantle,6.938,67.67,CSP,5.0,No,The University of Notre Dame Sydney,6.938,67.67,"['CSP', 'BMP']",4.0,2,0,0,4th,,Yes,Unsure,,2023,11-25,"ANU, Deakin, UniMelb",CSP,3,2.0
594,Non-Rural,65,79,62,68.67,67.0,,,,,,,The University of Notre Dame Sydney,6.969,68.67,"['CSP', 'BMP', 'FFP']",1.0,2,0,0,4th,,,Well,,2023,11-25,"ANU, Deakin, Griffith, UniMelb, UNDF","['CSP', 'BMP', 'FFP']",4,2.0
595,Non-Rural,71,69,74,71.33,72.0,Griffith University,6.938,72.0,CSP,1.0,Yes,,,,['CSP'],,0,2,0,3rd,,Yes,Unsure,,2023,26-50,,CSP,3,3.0
596,Non-Rural,52,74,91,72.33,77.0,Deakin University,6.99,77.0,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,4,0,0,,,Yes,Well,,2023,11-25,,CSP,4,2.0
597,Non-Rural,58,64,68,63.33,64.5,Macquarie University,6.9,64.5,FFP,2.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,3rd,,Yes,Well,,2023,11-25,,FFP,4,2.0
598,Non-Rural,57,78,62,65.67,64.75,The University of Notre Dame Fremantle,6.951,65.67,CSP,4.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,3rd,,No,Very poorly,undf - not a wa resident,2023,11-25,,CSP,1,2.0
599,Non-Rural,55,68,85,69.33,73.25,The University of Melbourne,6.906,69.33,BMP,1.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,4th,,Yes,Well,,2023,11-25,,BMP,4,2.0
600,Rural,57,59,61,59.0,59.5,,,,,,,Deakin University,6.97,59.5,"['CSP', 'BMP']",2.0,8,0,0,1st,,,Poorly,,2023,0-5,Griffith,"['CSP', 'BMP']",2,0.0
601,Non-Rural,64,62,72,66.0,67.5,,,,,,,Macquarie University,6.8,67.5,"['CSP', 'BMP', 'FFP']",1.0,2,0,0,,,,Well,,2023,11-25,"ANU, Deakin, Griffith, UniMelb","['CSP', 'BMP', 'FFP']",4,2.0
602,Non-Rural,57,70,76,67.67,69.75,Deakin University,6.778,69.75,CSP,1.0,Yes,,,,"['CSP', 'BMP', 'FFP']",,2,0,0,3rd,Tier 3,Yes,Poorly,,2023,0-5,,CSP,2,0.0
603,Non-Rural,59,65,88,70.67,75.0,Griffith University,7.0,75.0,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,,,Yes,Well,,2023,6-10,,CSP,4,1.0
604,Non-Rural,61,79,64,68.0,67.0,The University of Wollongong,5.5,67.0,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,4,0,0,4th,,Yes,Well,"wa resident bonus, average portfolio",2023,26-50,,CSP,4,3.0
605,Non-Rural,70,81,79,76.67,77.25,Deakin University,6.722,77.25,CSP,2.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,,,Yes,Poorly,,2023,26-50,,CSP,2,3.0
606,Non-Rural,62,78,68,69.33,69.0,,,,,,,The University of Queensland (RMP),6.825,69.33,"['CSP', 'BMP', 'FFP']",1.0,0,0,0,4th,Tier 3,,Unsure,,2023,11-25,"Griffith, UniMelb, UNDF, UNDS, UWA","['CSP', 'BMP', 'FFP']",3,2.0
607,Non-Rural,66,85,73,74.67,74.25,The University of Melbourne,6.95,74.67,CSP,1.0,Yes,,,,['CSP'],,0,0,0,,,Yes,Poorly,,2023,51-100,,CSP,2,4.0
608,Non-Rural,60,72,68,66.67,67.0,,,,,,,The University of Notre Dame Fremantle,6.96,66.67,"['CSP', 'BMP']",1.0,0,0,0,4th,,,Unsure,wa residency bonus,2023,26-50,UWA,"['CSP', 'BMP']",3,3.0
609,Non-Rural,63,63,82,69.33,72.5,Deakin University,6.917,72.5,CSP,1.0,Yes,,,,['CSP'],,2,0,0,,,Yes,Unsure,,2023,51-100,,CSP,3,4.0
610,Non-Rural,68,70,65,67.67,67.0,The University of Notre Dame Fremantle,6.98,67.67,CSP,2.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,4th,,Yes,Well,,2023,11-25,,CSP,4,2.0
611,Non-Rural,65,67,73,68.33,69.5,,,,,,,The University of Notre Dame Sydney,6.87,68.33,"['CSP', 'BMP', 'FFP']",1.0,2,0,0,3rd,,,Poorly,,2023,26-50,"ANU, Deakin, Griffith, UniMelb, UoW","['CSP', 'BMP', 'FFP']",2,3.0
612,Non-Rural,62,64,98,74.67,80.5,The University of Melbourne,6.97,74.67,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,,,Yes,Unsure,,2023,51-100,,CSP,3,4.0
613,Non-Rural,65,73,95,77.67,82.0,The University of Melbourne,7.0,77.67,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,,,Yes,Unsure,,2023,26-50,,CSP,3,3.0
614,Non-Rural,70,62,69,67.0,67.5,The University of Notre Dame Sydney,6.83,67.0,FFP,2.0,No,The University of Wollongong,5.5,67.5,"['CSP', 'BMP', 'FFP']",1.0,2,0,0,3rd,Tier 3,Yes,Well,,2023,51-100,,FFP,4,4.0
615,Rural,64,58,65,62.33,63.0,Griffith University,6.4,63.0,BMP,1.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,,,Yes,Very well,,2023,26-50,,BMP,5,3.0
616,Non-Rural,61,75,59,65.0,63.5,Griffith University,6.55,63.5,CSP,2.0,No,The University of Notre Dame Sydney,6.75,65.0,"['CSP', 'BMP']",1.0,0,0,0,4th,Tier 3,Yes,Very well,,2023,6-10,,CSP,5,1.0
617,Non-Rural,64,68,74,68.67,70.0,,,,,,,The University of Notre Dame Fremantle,6.9,68.67,"['CSP', 'BMP', 'FFP']",1.0,0,0,0,4th,Tier 3,,Poorly,wa residency,2023,26-50,"Griffith, UniMelb, UNDS, UQ, UWA","['CSP', 'BMP', 'FFP']",2,3.0
618,Non-Rural,60,62,76,66.0,68.5,The University of Queensland (RMP),6.88,66.0,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,2,0,0,,Tier 3,Unsure,Very well,,2023,51-100,,CSP,5,4.0
619,Non-Rural,57,64,77,66.0,68.75,,,,,,,The University of Western Australia,6.7,68.75,"['CSP', 'BMP']",1.0,0,0,0,3rd,,,Unsure,,2023,0-5,"ANU, Griffith, UNDF, UNDS, UQ","['CSP', 'BMP']",3,0.0
620,Non-Rural,62,64,71,65.67,67.0,The University of Western Australia,6.958,67.0,CSP,4.0,No,The University of Queensland (RMP),6.9,65.67,"['CSP', 'BMP']",3.0,0,0,0,,Tier 3,Unsure,Well,,2023,51-100,,CSP,4,4.0
621,Rural,72,61,54,62.33,60.25,The University of Notre Dame Sydney,5.741,62.33,BMP,1.0,Yes,,,,"['CSP', 'BMP']",,6,0,0,3rd,Tier 1 (DD RMP),Yes,Unsure,,2023,0-5,,BMP,3,0.0
622,Non-Rural,63,62,68,64.33,65.25,The University of Notre Dame Fremantle,6.5,64.33,BMP,1.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,4th,,Yes,Unsure,wa resident,2023,6-10,,BMP,3,1.0
623,Non-Rural,61,80,54,65.0,62.25,The University of Notre Dame Fremantle,6.7,65.0,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,4th,,Yes,Well,wa residency,2023,0-5,,CSP,4,0.0
624,Non-Rural,64,69,57,63.33,61.75,The University of Notre Dame Sydney,6.907,63.33,FFP,1.0,Yes,,,,"['CSP', 'BMP', 'FFP']",,0,0,0,4th,,Yes,Unsure,,2023,26-50,,FFP,3,3.0
625,Rural,68,64,69,67.0,67.5,The University of Western Australia,6.58,67.5,BMP,4.0,No,The University of Melbourne,6.875,67.0,"['CSP', 'BMP']",1.0,10,0,0,,,Unsure,Unsure,gam. got into usyd so probably going there.,2023,0-5,"Deakin, Griffith",BMP,3,0.0
626,Rural,66,66,58,63.33,62.0,The University of Queensland (RMP),6.0,63.33,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,,Tier 1 (CQ-WB RMP),Yes,Well,,2023,6-10,,CSP,4,1.0
627,Rural,57,76,62,65.0,64.25,,,,,,,The University of Notre Dame Sydney,6.71,65.0,"['CSP', 'BMP']",3.0,0,0,0,1st,,,Well,,2023,26-50,"Deakin, UoW","['CSP', 'BMP']",4,3.0
628,Non-Rural,67,85,89,80.33,82.5,The University of Melbourne,6.638,80.33,CSP,1.0,Yes,,,,"['CSP', 'BMP', 'FFP']",,0,0,0,4th,,Yes,Very poorly,,2023,11-25,,CSP,1,2.0
629,Rural,50,70,51,57.0,55.5,The University of Melbourne,6.78,57.0,FFP,1.0,Yes,,,,"['CSP', 'BMP', 'FFP']",,4,0,3,1st,,Yes,Unsure,"gam - rural, extensive portfolio",2023,51-100,,FFP,3,4.0
630,Non-Rural,55,79,74,69.33,70.5,Griffith University,6.973,70.5,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,2,0,0,4th,,Yes,Very well,,2023,51-100,,CSP,5,4.0
631,Non-Rural,52,83,53,62.67,60.25,The University of Notre Dame Fremantle,6.56,62.67,CSP,1.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,4th,,Yes,Unsure,wa residency,2023,6-10,,CSP,3,1.0
632,Non-Rural,73,67,90,76.67,80.0,Griffith University,6.46,80.0,BMP,4.0,Yes,,,,"['CSP', 'BMP']",,0,0,0,,,Yes,Poorly,,2023,6-10,,BMP,2,1.0
