Timestamp	Rurality	S1	S2	S3	UW GAMSAT	W GAMSAT	Outlier	Interviewing Uni	GPA	GAMSAT	1st Preference Uni	GPA	GAMSAT	2nd Preference Uni	GPA	GAMSAT	3rd Preference Uni	GPA	GAMSAT	4th Preference Uni	GPA	GAMSAT	5th Preference Uni	GPA	GAMSAT	6th Preference Uni	GPA	GAMSAT	CASPer Quartile	ANU Bonuses	Deakin Bonus	MQ Bonus	Deakin RTS Tier	Unimelb GAM	UNDF Bonuses	UNDS Bonuses	UQ MP/RMP Tier + Location	UoW Bonuses	Notes
30/08/2024 12:55:56	Non-Rural	63	61	76	66.67	69		Deakin University	6.75	69	The University of Queensland (RMP/DDMP)	6.648	66.67	Griffith University	6.65	69	The University of Melbourne	6.733	66.67										N/A	0	4	0	Did not apply	No			Tier 3	Toowoomba	0	
30/08/2024 12:55:56	Non-Rural	83	67	66	72	70.5		The University of Melbourne	6.762	72																			N/A	0	0	0		Yes					0	n/a
30/08/2024 12:55:59	Non-Rural	65	71	90	75.33	79		The University of Melbourne	6.746	75.33																			4th	0	0	0		No					0	
30/08/2024 12:58:32	Non-Rural	63	81	79	74.33	75.5		The University of Melbourne	7	74.33																			N/A	0	0	0		No					0	
30/08/2024 12:58:55	Non-Rural	59	69	65	64.33	64.5		The University of Queensland (RMP/DDMP)	7	64.33																			3rd	0	0	0					Tier 3	Toowoomba	0	MSc (research)
30/08/2024 13:00:24	Non-Rural	57	67	66	63.33	64		Deakin University	6.833	64																			4th	0	8	0	Did not apply						0	
30/08/2024 13:00:50	Rural	55	71	64	63.33	63.5		Griffith University	6.72	63.5																			N/A	0	0	0							0	
30/08/2024 13:00:58	Non-Rural	57	51	75	61	64.5		The University of Western Australia	6.979	64.5	Australian National University	6.99	64.5	The University of Queensland (RMP/DDMP)	6.979	61	Griffith University	6.979	64.5										N/A	0	0	0					Tier 3	Rockhampton	0	no
30/08/2024 13:01:59	Non-Rural	60	67	79	68.67	71.25		Macquarie University	6.115	71.25																			N/A	0	0	3							0	
30/08/2024 13:02:31	Non-Rural	53	67	72	64	66		The University of Queensland (Greater Brisbane)	7	64	The University of Melbourne	7	64																N/A	0	0	0		No					0	
30/08/2024 13:03:31	Non-Rural	66	63	83	70.67	73.75		The University of Western Australia	6.542	73.75	The University of Notre Dame Sydney	6.51	70.67	Australian National University	6.51	73.75													3rd	0	0	0				None			0	
30/08/2024 13:03:36	Non-Rural	62	73	94	76.33	80.75		The University of Melbourne	6.604	76.33																			N/A	0	0	0		Yes					0	
30/08/2024 13:03:52	Non-Rural	51	55	76	60.67	64.5					The University of Melbourne	6.8	60.67																1st	0	0	0		Yes					0	
30/08/2024 13:04:17	Non-Rural	61	68	78	69	71.25		The University of Melbourne	6.886	69																			N/A	0	0	0		No					0	
30/08/2024 13:04:21	Rural	61	55	51	55.67	54.5		Australian National University	6.134	54.5																			N/A	0	0	0							0	
30/08/2024 13:04:28	Non-Rural	69	72	77	72.67	73.75		The University of Western Australia	6.5	73.75																			3rd	0	0	0							0	
30/08/2024 13:05:33	Non-Rural	64	74	60	66	64.5		The University of Queensland (Greater Brisbane)	7	66																			4th	0	0	0							0	
30/08/2024 13:05:57	Rural	59	60	84	67.67	71.75		The University of Melbourne	6.55	67.67																			4th	0	0	0		No					0	
30/08/2024 13:07:01	Non-Rural	65	71	64	66.67	66		The University of Wollongong	6.698	66																			4th	0	0	0							2	
30/08/2024 13:07:41	Non-Rural	58	69	83	70	73.25		The University of Melbourne	6.9	70																			N/A	0	0	0		No					0	
30/08/2024 13:09:02	Non-Rural	56	78	70	68	68.5		The University of Notre Dame Sydney	6.33	68																			4th	0	0	0				None			0	Did very well in CASPer IMO
30/08/2024 13:09:15	Non-Rural	63	80	56	66.33	63.75		The University of Notre Dame Fremantle	6.6	66.33																			3rd	0	0	0			WA Res				0	
30/08/2024 13:09:16	Non-Rural	67	72	77	72	73.25		The University of Western Australia	6.521	73.25																			4th	0	0	0							0	
30/08/2024 13:09:25	Non-Rural	63	62	70	65	66.25		The University of Queensland (RMP/DDMP)	7	65	The University of Wollongong	6.631	66.25	The University of Notre Dame Fremantle	6.631	65													2nd	0	0	0			None		Tier 3	Bundaberg	1	First-class standalone honours
30/08/2024 13:11:33	Non-Rural	60	60	83	67.67	71.5		The University of Notre Dame Sydney	6.501	67.67																			4th	0	0	0				None			0	
30/08/2024 13:11:53	Non-Rural	63	86	71	73.33	72.75		The University of Melbourne	6.95	73.33																			N/A	0	0	0		No					0	
30/08/2024 13:15:41	Non-Rural	57	71	64	64	64		The University of Queensland (Greater Brisbane)	7	64																			N/A	0	0	0							0	Received an email from Melbourne asking for information about my PhD so I could be considered for interview re-ranking.
30/08/2024 13:16:11	Non-Rural	60	60	66	62	63					The University of Wollongong	6.208	63	The University of Notre Dame Sydney	6.208	62	The University of Queensland (RMP/DDMP)	7	62	Australian National University	6.208	63	Deakin University	6.198	63	Macquarie University	6.177	63	4th	2	2	0	Did not apply			None	Tier 3	Rockhampton	1	
30/08/2024 13:17:55	Non-Rural	73	78	69	73.33	72.25		The University of Melbourne	6.886	73.33																			N/A	0	0	0		Yes					0	
30/08/2024 13:18:49	Non-Rural	60	72	57	63	61.5					The University of Wollongong	6.881	61.5	Macquarie University	6.881	61.5	The University of Notre Dame Sydney	6.881	63	Australian National University	6.881	61.5							4th	0	0	0				None			1	
30/08/2024 13:20:28	Non-Rural	78	69	84	77	78.75		Australian National University	6.885	78.75																			N/A	0	0	0							0	
30/08/2024 13:21:05	Non-Rural	65	63	63	63.67	63.5		The University of Queensland (RMP/DDMP)	7	63.67																			4th	0	0	0					Tier 3	Toowoomba	0	
30/08/2024 13:21:21	Rural	62	73	58	64.33	62.75		Australian National University	5.676	62.75																			4th	0	0	0							0	
30/08/2024 13:22:17	Non-Rural	63	72	81	72	74.25		The University of Melbourne	6.858	72																			N/A	0	0	0		No					0	
30/08/2024 13:22:40	Non-Rural	61	64	87	70.67	74.75		The University of Melbourne	6.9	70.67																			N/A	0	0	0		Yes					0	No
30/08/2024 13:22:49	Non-Rural	71	70	68	69.67	69.25		The University of Queensland (Greater Brisbane)	6.589	69.67																			4th	0	0	0							0	
30/08/2024 13:23:30	Non-Rural	61	78	64	67.67	66.75					The University of Notre Dame Sydney	6.58	67.67	Australian National University	6.58	66.75	The University of Wollongong	6.58	66.75	The University of Melbourne	6.525	67.67							2nd	0	0	0		No		None			0	
30/08/2024 13:25:03	Rural	61	71	62	64.67	64		The University of Melbourne	5.867	64.67																			N/A	0	0	0		No					0	
30/08/2024 13:26:40	Non-Rural	70	62	74	68.67	70		The University of Western Australia	6.896	70																			3rd	0	0	0							0	
30/08/2024 13:27:48	Non-Rural	73	79	74	75.33	75		The University of Melbourne	6.4	75.33																			4th	0	0	0		No					0	
30/08/2024 13:28:09	Non-Rural	63	75	73	70.33	71		Deakin University	6.735	71	The University of Melbourne	6.682	70.33																4th	0	2	0	Did not apply	No					0	
30/08/2024 13:28:11	Non-Rural	60	65	67	64	64.75		The University of Western Australia	6.818	64.75	The University of Notre Dame Sydney	6.74	64	Australian National University	6.74	64.75	The University of Notre Dame Fremantle	6.74	64	Griffith University	6.74	64.75	Macquarie University	6.74	64.75				2nd	0	0	0			None	None			0	
30/08/2024 13:28:42	Non-Rural	61	54	74	63	65.75					The University of Melbourne	6.9	63																2nd	0	0	0		Yes					0	
30/08/2024 13:29:10	Non-Rural	56	79	80	71.67	73.75		The University of Melbourne	6.921	71.67																			N/A	0	0	0		No					0	
30/08/2024 13:31:26	Non-Rural	71	80	92	81	83.75		The University of Queensland (Greater Brisbane)	6.975	81																			N/A	0	0	0							0	
30/08/2024 13:33:11	Non-Rural	59	66	84	69.67	73.25		The University of Melbourne	7	69.67																			3rd	0	0	0		No					0	
30/08/2024 13:36:13	Non-Rural	54	79	65	66	65.75					The University of Melbourne	6.771	66	Deakin University	6.958	65.75	The University of Notre Dame Sydney	6.917	66	The University of Queensland (Greater Brisbane)	6.6	66	Griffith University	6.542	65.75	Australian National University	6.917	65.75	2nd	2	0	0	Did not apply	Yes		None			0	
30/08/2024 13:38:11	Non-Rural	63	63	70	65.33	66.5		The University of Western Australia	7	66.5																			3rd	0	0	0							0	
30/08/2024 13:40:21	Non-Rural	59	83	76	72.67	73.5		The University of Western Australia	6.708	73.5																			4th	0	0	0							0	Non WA resident
30/08/2024 13:41:06	Non-Rural	63	70	72	68.33	69.25		Macquarie University	6.45	69.25	The University of Wollongong	6.45	69.25	The University of Notre Dame Fremantle	6.45	68.33	The University of Notre Dame Sydney	6.45	68.33	Australian National University	6.45	69.25	Griffith University	6.45	69.25				2nd	0	0	0			None	None			1	
30/08/2024 13:50:10	Non-Rural	61	76	68	68.33	68.25					The University of Melbourne	6.443	68.33	Australian National University	6.625	68.25	Deakin University	6.813	68.25	The University of Western Australia	6.556	68.25	The University of Queensland (Greater Brisbane)	6.474	68.33	Griffith University	6.375	68.25	N/A	2	0	0	Did not apply	No					0	
30/08/2024 13:50:29	Non-Rural	62	61	82	68.33	71.75		The University of Queensland (Greater Brisbane)	6.938	68.33																			N/A	0	0	0							0	
30/08/2024 13:50:35	Non-Rural	68	76	59	67.67	65.5		The University of Queensland (RMP/DDMP)	7	67.67	The University of Wollongong	6.594	65.5																4th	0	0	0					Tier 3	Toowoomba	1	
30/08/2024 13:53:19	Non-Rural	62	63	77	67.33	69.75		The University of Queensland (RMP/DDMP)	6.789	67.33	The University of Melbourne	6.746	67.33	The University of Notre Dame Sydney	6.774	67.33													2nd	0	0	0		No		None	Tier 3	Toowoomba	0	
30/08/2024 13:55:18	Rural	67	78	57	67.33	64.75		The University of Notre Dame Sydney	5.29	67.33																			3rd	0	0	0				None			0	
30/08/2024 13:55:20	Non-Rural	67	70	67	68	67.75		The University of Notre Dame Sydney	6.8	68	The University of Melbourne	6.799	68																3rd	0	0	0		No		None			0	
30/08/2024 13:55:24	Non-Rural	68	71	68	69	68.75		The University of Melbourne	7	69																			4th	0	0	0		Yes					0	
30/08/2024 13:56:21	Non-Rural	80	65	59	68	65.75					The University of Wollongong	6.313	65.75	Deakin University	6.313	65.75	The University of Notre Dame Sydney	6.313	68										4th	0	4	0	Did not apply			None			2	
30/08/2024 13:56:33	Non-Rural	71	69	76	72	73		The University of Queensland (Greater Brisbane)	7	72																			N/A	0	0	0							0	
30/08/2024 13:57:17	Non-Rural	68	73	54	65	62.25		The University of Notre Dame Fremantle	6.677	65																			3rd	0	0	0			WA Res				0	
30/08/2024 13:58:28	Non-Rural	60	68	66	64.67	65					The University of Queensland (Greater Brisbane)	6.789	64.67	The University of Melbourne	6.804	64.67	Griffith University	6.799	65	The University of Notre Dame Sydney	6.799	64.67	Deakin University	6.799	65	The University of Wollongong	6.799	65	2nd	0	2	0	Did not apply	Yes		None			0	
30/08/2024 13:59:40	Rural	60	55	66	60.33	61.75		The University of Melbourne	7	60.33																			4th	0	0	0		No					0	
30/08/2024 14:00:06	Non-Rural	70	72	70	70.67	70.5		The University of Melbourne	6.775	70.67																			4th	0	0	0		No					0	
30/08/2024 14:01:54	Non-Rural	63	78	76	72.33	73.25		The University of Melbourne	6.938	72.33																			N/A	0	0	0		Yes					0	
30/08/2024 14:02:09	Non-Rural	55	68	74	65.67	67.75		The University of Queensland (RMP/DDMP)	7	65.67																			N/A	0	0	0					Tier 3	Toowoomba	0	
30/08/2024 14:02:17	Non-Rural	65	66	70	67	67.75		The University of Notre Dame Fremantle	6.443	67																			4th	0	0	0			WA Res				0	
30/08/2024 14:02:25	Non-Rural	68	77	66	70.33	69.25		The University of Melbourne	6.9	70.33																			N/A	0	0	0		No					0	
30/08/2024 14:06:54	Non-Rural	57	56	65	59.33	60.75		The University of Melbourne	6.021	59.33																			N/A	0	0	0		Yes					0	i am just as surprised as you are. if accepted, it will likely be FFP
30/08/2024 14:07:01	Non-Rural	63	80	65	69.33	68.25		The University of Queensland (Greater Brisbane)	7	69.33	The University of Notre Dame Sydney	6.257	69.33				The University of Wollongong	6.257	68.25	Deakin University	6.628	68.25	The University of Notre Dame Fremantle	6.257	69.33	The University of Western Australia	6.365	68.25	4th	0	4	0	Did not apply		None	None			1	
30/08/2024 14:08:45	Non-Rural	77	68	84	76.33	78.25		Griffith University	6.23	78.25																			N/A	0	0	0							0	
30/08/2024 14:11:11	Rural	59	58	69	62	63.75		The University of Notre Dame Sydney	6.219	62																			3rd	0	0	0				None			0	
30/08/2024 14:12:59	Rural	60	70	63	64.33	64		The University of Queensland (Greater Brisbane)	6.8	64.33																			4th	0	0	0							0	
30/08/2024 14:14:26	Non-Rural	60	65	63	62.67	62.75		The University of Wollongong	6.69	62.75																			4th	0	0	0							2	
30/08/2024 14:15:16	Non-Rural	68	61	74	67.67	69.25					The University of Queensland (Greater Brisbane)	6.3	67.67	Griffith University	6.3	69.25	The University of Melbourne	6.3	67.67	Deakin University	6.3	69.25	The University of Western Australia	6.3	69.25	Australian National University	6.3	69.25	N/A	2	0	0	Did not apply	No					0	
30/08/2024 14:16:17	Non-Rural	60	65	64	63	63.25		The University of Queensland (Greater Brisbane)	7	63	Deakin University	6.656	63.25																3rd	0	8	0	Did not apply						0	First Class Honours, 2% ANU bonus
30/08/2024 14:20:03	Non-Rural	64	78	69	70.33	70		The University of Melbourne	6.88	70.33																			N/A	0	0	0		No					0	
30/08/2024 14:22:33	Non-Rural	62	70	90	74	78		The University of Melbourne	6.73	74																			N/A	0	0	0		No					0	
30/08/2024 14:22:57	Rural	67	73	62	67.33	66		Griffith University	7	66																			N/A	0	0	0							0	
30/08/2024 14:23:49	Non-Rural	59	76	52	62.33	59.75		The University of Notre Dame Sydney	6.854	62.33																			2nd	0	0	0				None			0	I did the UND Graduate Diploma of Health and Medical Sciences. (Received 6HDs, 2Ds)
30/08/2024 14:24:00	Non-Rural	60	73	67	66.67	66.75		The University of Melbourne	7	66.67																			4th	0	0	0		No					0	
30/08/2024 14:29:45	Non-Rural	61	67	80	69.33	72		The University of Melbourne	6.808	69.33																			4th	0	0	0		No					0	
30/08/2024 14:30:24	Non-Rural	66	81	62	69.67	67.75		The University of Notre Dame Sydney	6.71	69.67																			1st	0	0	0				None			0	
30/08/2024 14:32:06	Non-Rural	65	67	73	68.33	69.5		The University of Notre Dame Sydney	6.84	68.33																			1st	0	0	0				None			0	
30/08/2024 14:32:39	Non-Rural	65	74	79	72.67	74.25		The University of Queensland (Greater Brisbane)	7	72.67																			4th	0	0	0							0	
30/08/2024 14:34:51	Non-Rural	65	67	75	69	70.5		Deakin University	6.979	70.5																			N/A	0	0	0	Did not apply						0	
30/08/2024 14:39:50	Non-Rural	66	67	70	67.67	68.25		The University of Western Australia	7	68.25																			1st	0	0	0							0	PhD
30/08/2024 14:43:58	Non-Rural	64	69	62	65	64.25		The University of Western Australia	6.927	64.25	Australian National University	6.932	64.25	Griffith University	6.927	64.25													N/A	0	0	0							0	
30/08/2024 14:46:01	Non-Rural	59	57	65	60.33	61.5					The University of Wollongong	6.4	61.5	The University of Notre Dame Sydney	6.4	60.33	Australian National University	6.4	61.5	Macquarie University	6.4	61.5	Deakin University	6.5	61.5				4th	0	0	0	Did not apply			None			2	
30/08/2024 14:52:03	Non-Rural	65	56	86	69	73.25		The University of Notre Dame Sydney	6.9	69																			4th	0	0	0				None			0	
30/08/2024 14:57:49	Rural	63	68	78	69.67	71.75		The University of Melbourne	5.85	69.67																			N/A	0	0	0		Yes					0	MM7 Rural
30/08/2024 15:00:30	Non-Rural	73	72	74	73	73.25		The University of Melbourne	6.79	73																			N/A	0	0	0		No					0	
30/08/2024 15:06:26	Non-Rural	59	60	53	57.33	56.25		The University of Notre Dame Sydney	6.3	57.33																			2nd	0	0	0				None			0	I did the Graduate Diploma in Health and Medical Science and made deen's list with gives you an interview.
30/08/2024 15:10:08	Non-Rural	71	81	100	84	88		The University of Melbourne	6.3	84																			N/A	0	0	0		No					0	
30/08/2024 15:10:13	Rural	58	58	60	58.67	59		The University of Queensland (RMP/DDMP)	6.719	58.67																			N/A	0	0	0					Tier 1 (CQ/WB)	Rockhampton	0	
30/08/2024 15:13:48	Non-Rural	61	79	69	69.67	69.5		The University of Western Australia	6.979	69.5																			3rd	0	0	0							0	
30/08/2024 15:16:38	Non-Rural	62	78	86	75.33	78		The University of Melbourne	6.83	75.33																			N/A	0	0	0		No					0	
30/08/2024 15:19:15	Non-Rural	55	50	91	65.33	71.75		Australian National University	6.97	71.75	The University of Melbourne	6.97	65.33																N/A	0	0	0		No					0	
30/08/2024 15:22:26	Non-Rural	61	66	62	63	62.75		The University of Notre Dame Sydney	7	63	The University of Wollongong	7	62.75																4th	0	0	0				None			1	
30/08/2024 15:28:21	Non-Rural	57	56	58	57	57.25					The University of Notre Dame Fremantle	6.92	57	The University of Western Australia	6.89	57.25													3rd	0	0	0			WA Res				0	
30/08/2024 15:31:06	Non-Rural	71	90	77	79.33	78.75		The University of Melbourne	6.84	79.33																			N/A	0	0	0		No					0	
30/08/2024 15:33:21	Non-Rural	60	74	72	68.67	69.5		The University of Melbourne	6.97	68.67																			4th	0	0	0		No					0	
30/08/2024 15:35:11	Non-Rural	64	71	77	70.67	72.25		The University of Melbourne	6.854	70.67																			N/A	0	0	0		No					0	
30/08/2024 15:35:13	Non-Rural	64	67	58	63	61.75					The University of Wollongong	6.54	61.75	The University of Notre Dame Sydney	6.5	63													2nd	0	0	0				None			3	no
30/08/2024 15:35:27	Non-Rural	67	65	81	71	73.5		The University of Queensland (RMP/DDMP)	7	71																			1st	0	0	0					Tier 3	Toowoomba	0	1st class honours
30/08/2024 15:39:14	Non-Rural	70	55	68	64.33	65.25					The University of Queensland (Greater Brisbane)	7	64.33	Griffith University	6.4	65.25													N/A	0	0	0							0	
30/08/2024 15:39:42	Non-Rural	63	72	71	68.67	69.25		The University of Western Australia	6.83	69.25																			N/A	0	0	0							0	
30/08/2024 15:40:25	Non-Rural	64	64	69	65.67	66.5		The University of Notre Dame Sydney	6.823	65.67	The University of Melbourne	6.788	65.67	Deakin University	6.823	66.5													4th	0	0	0	Did not apply	No		None			0	N/A
30/08/2024 15:42:10	Non-Rural	61	75	69	68.33	68.5		The University of Queensland (Greater Brisbane)	6.868	68.33	The University of Notre Dame Sydney	6.948	68.33																2nd	0	0	0				None			0	
30/08/2024 15:44:13	Non-Rural	58	65	66	63	63.75		The University of Notre Dame Fremantle	6.97	63	The University of Wollongong	6.97	63.75	The University of Notre Dame Sydney	6.97	63													3rd	0	0	0			None	None			1	
30/08/2024 15:45:31	Non-Rural	59	77	66	67.33	67		The University of Notre Dame Sydney	6.76	67.33																			4th	0	0	0				None			0	
30/08/2024 15:47:58	Non-Rural	69	69	65	67.67	67					The University of Melbourne	6.55	67.67	Deakin University	6.823	67	The University of Queensland (RMP/DDMP)	6.323	67.67	Griffith University	6.438	67	Australian National University	6.771	67	The University of Wollongong	6.771	67	4th	0	0	0	Did not apply	Yes			Tier 3	Rockhampton	0	GAM, Centrelink, family circumstances first year, currently completing honours
30/08/2024 15:49:08	Non-Rural	53	78	69	66.67	67.25					The University of Wollongong	6.542	67.25	The University of Notre Dame Sydney	6.542	66.67	Griffith University	6.646	67.25	The University of Melbourne	6.575	66.67	The University of Queensland (Greater Brisbane)	6.738	66.67	Macquarie University	6.542	67.25	4th	0	0	0		No		None			1	
30/08/2024 15:52:27	Non-Rural	61	68	63	64	63.75		The University of Notre Dame Sydney	6.902	64	The University of Melbourne	6.882	64	The University of Queensland (Greater Brisbane)	6.78	64	Deakin University	6.902	63.75										4th	0	0	0	Did not apply	No		None			0	
30/08/2024 15:55:05	Non-Rural	72	71	59	67.33	65.25		The University of Notre Dame Fremantle	6.724	67.33	The University of Wollongong	6.903	65.25																3rd	0	0	0			None				2	
30/08/2024 15:55:07	Non-Rural	57	60	80	65.67	69.25		The University of Western Australia	6.904	69.25																			4th	0	0	0							0	
30/08/2024 16:05:36	Non-Rural	64	78	81	74.33	76		The University of Notre Dame Sydney	6.188	74.33																			3rd	0	0	0				None			0	
30/08/2024 16:07:56	Rural	63	64	56	61	59.75		The University of Melbourne	6.775	61																			N/A	0	0	0		Yes					0	Strong GAM. First GEMSAS application
30/08/2024 16:07:56	Non-Rural	68	75	63	68.67	67.25					The University of Wollongong	6.108	67.25	Griffith University	6.108	67.25	The University of Notre Dame Fremantle	6.108	68.67	The University of Notre Dame Sydney	6.108	68.67	The University of Melbourne	6.108	68.67	Deakin University	6.108	67.25	3rd	0	2	0	Did not apply	No	HDR	HDR			2	
30/08/2024 16:16:25	Rural	69	72	64	68.33	67.25		The University of Melbourne	6.281	68.33																			N/A	0	0	0		Yes					0	
30/08/2024 16:24:04	Non-Rural	51	53	54	52.67	53					The University of Wollongong	6.515	53	The University of Notre Dame Sydney	6.515	52.67	Australian National University	6.515	53	The University of Queensland (Greater Brisbane)	6.293	52.67	Griffith University	6.339	53	The University of Melbourne	6.45	52.67	3rd	0	0	0		No		None			2	
30/08/2024 16:24:24	Rural	54	51	63	56	57.75		The University of Melbourne	5.342	56	Deakin University	6.046	57.75																1st	0	12	0	Tier 3	No					0	
30/08/2024 16:24:45	Rural	66	72	65	67.67	67		The University of Melbourne	6.573	67.67																			N/A	0	0	0		No					0	
30/08/2024 16:25:58	Non-Rural	61	65	68	64.67	65.5		Deakin University	6.8	65.5																			N/A	0	8	0	Did not apply						0	
30/08/2024 16:27:39	Non-Rural	55	64	88	69	73.75		The University of Melbourne	7	69																			N/A	0	0	0		No					0	
30/08/2024 16:29:14	Non-Rural	73	58	84	71.67	74.75		The University of Western Australia	6.833	74.75																			4th	0	0	0							0	
30/08/2024 16:32:58	Non-Rural	62	83	69	71.33	70.75		The University of Queensland (Greater Brisbane)	6.65	71.33	The University of Melbourne	6.62	71.33	Deakin University	6.65	70.75													4th	0	0	0	Did not apply	No					0	
30/08/2024 16:35:27	Rural	61	63	62	62	62		The University of Western Australia	6.3	62																			1st	0	0	0							0	MMM5
30/08/2024 16:35:31	Non-Rural	61	76	64	67	66.25		The University of Queensland (Greater Brisbane)	6.9	67	The University of Melbourne	6.63	67	Deakin University	6.7	66.25	The University of Notre Dame Sydney	6.7	67										3rd	0	0	0	Did not apply	Yes		None			0	
30/08/2024 16:36:51	Non-Rural	64	76	53	64.33	61.5		The University of Wollongong	6.073	61.5																			4th	0	0	0							3	
30/08/2024 16:37:39	Non-Rural	57	71	65	64.33	64.5		Macquarie University	6.8	64.5	The University of Wollongong	6.8	64.5																2nd	0	0	0							1	
30/08/2024 16:39:28	Rural	59	61	68	62.67	64		The University of Notre Dame Fremantle	6.357	62.67																			4th	0	0	0			WA Res				0	Rural MM5, WA Bonus
30/08/2024 16:41:29	Non-Rural	54	70	60	61.33	61		The University of Notre Dame Fremantle	6.61	61.33																			4th	0	0	0			WA Res				0	
30/08/2024 16:47:39	Non-Rural	70	73	75	72.67	73.25		The University of Western Australia	7	73.25																			3rd	0	0	0							0	
30/08/2024 16:48:41	Rural	60	64	62	62	62		The University of Queensland (RMP/DDMP)	6.45	62																			N/A	0	0	0					Tier 1 (CQ/WB)	Rockhampton	0	
30/08/2024 16:51:05	Non-Rural	62	84	69	71.67	71		Australian National University	6.917	71																			4th	2	0	0							0	
30/08/2024 16:51:44	Non-Rural	64	81	71	72	71.75		Australian National University	6.885	71.75																			4th	0	0	0							0	
30/08/2024 16:51:58	Non-Rural	74	71	80	75	76.25		The University of Melbourne	6.425	75																			4th	0	0	0		Yes					0	
30/08/2024 16:53:24	Rural	63	65	58	62	61		The University of Queensland (RMP/DDMP)	5.29	62																			N/A	0	0	0					Tier 1 (CQ/WB)	Bundaberg	0	
30/08/2024 16:53:56	Non-Rural	66	78	94	79.33	83		The University of Queensland (Greater Brisbane)	7	79.33																			N/A	0	0	0							0	
30/08/2024 16:58:09	Non-Rural	62	69	74	68.33	69.75		The University of Notre Dame Sydney	6.82	68.33																			4th	0	0	0				None			0	
30/08/2024 17:01:46	Non-Rural	57	61	77	65	68		Deakin University	6.85	68	The University of Melbourne	6.85	65	Australian National University	6.85	68	The University of Notre Dame Sydney	6.85	65										3rd	0	6	0	Did not apply	No		None			0	
30/08/2024 17:07:33	Non-Rural	66	59	71	65.33	66.75		The University of Notre Dame Sydney	7	65.33	The University of Melbourne	7	65.33	Deakin University	7	66.75													3rd	0	0	0	Did not apply	Yes		None			0	
30/08/2024 17:16:47	Non-Rural	70	85	78	77.67	77.75		The University of Melbourne	6.81	77.67																			N/A	0	0	0		No					0	
30/08/2024 17:19:19	Non-Rural	65	72	65	67.33	66.75		The University of Notre Dame Fremantle	6.385	67.33	The University of Wollongong	6.385	66.75																4th	0	0	0			WA Res				2	
30/08/2024 17:27:35	Non-Rural	61	69	58	62.67	61.5		The University of Notre Dame Fremantle	6.906	62.67																			4th	0	0	0			WA Res				0	
30/08/2024 17:33:57	Non-Rural	58	82	51	63.67	60.5		Deakin University	6.979	60.5																			4th	0	6	0	Did not apply						0	
30/08/2024 17:36:35	Non-Rural	60	64	82	68.67	72		Deakin University	6.824	72	The University of Melbourne	6.688	68.67																N/A	0	2	0	Did not apply	No					0	
30/08/2024 17:37:35	Non-Rural	77	65	73	71.67	72		The University of Queensland (Greater Brisbane)	6.958	71.67																			N/A	0	0	0							0	
30/08/2024 17:39:10	Rural	60	63	53	58.67	57.25		The University of Melbourne	5	58.67																			N/A	0	0	0		No					0	Technically I believe I have under the required GPA? Floating around a 4.8 ish
30/08/2024 17:39:15	Non-Rural	63	72	58	64.33	62.75		The University of Wollongong	6.33	62.75																			4th	0	0	0							4	
30/08/2024 17:41:43	Non-Rural	67	62	100	76.33	82.25		The University of Melbourne	7	76.33																			N/A	0	0	0		No					0	
30/08/2024 17:54:36	Non-Rural	59	68	71	66	67.25		The University of Western Australia	6.699	67.25																			4th	0	0	0							0	Have WA bonus for UNDF
30/08/2024 17:55:38	Non-Rural	67	67	88	74	77.5		The University of Melbourne	6.629	74																			N/A	0	0	0		Yes					0	
30/08/2024 17:58:41	Non-Rural	66	56	95	72.33	78		The University of Melbourne	6.632	72.33																			N/A	0	0	0		No					0	
30/08/2024 18:01:14	Non-Rural	53	71	77	67	69.5		The University of Queensland (Greater Brisbane)	6.917	67																			N/A	0	0	0							0	
30/08/2024 18:11:10	Non-Rural	65	64	75	68	69.75					The University of Wollongong	6.238	69.75	The University of Queensland (RMP/DDMP)	6.238	68	Griffith University	6.238	69.75	The University of Notre Dame Sydney	6.238	68	The University of Melbourne	6.238	68	Deakin University	5.875	69.75	3rd	0	0	0	Did not apply	No		None	Tier 3	Rockhampton	2	
30/08/2024 18:17:29	Non-Rural	63	70	67	66.67	66.75		The University of Notre Dame Fremantle	6.695	66.67	The University of Queensland (Greater Brisbane)	6.619	66.67	Griffith University	6.643	66.75	The University of Notre Dame Sydney	6.695	66.67	The University of Melbourne	6.651	66.67							3rd	0	0	0		No	None	None			0	
30/08/2024 18:19:25	Non-Rural	59	73	69	67	67.5		The University of Notre Dame Sydney	6.979	67																			4th	0	0	0				None			0	
30/08/2024 18:19:29	Non-Rural	53	55	70	59.33	62					The University of Wollongong	6.67	62																2nd	0	0	0							2	
30/08/2024 18:31:26	Non-Rural	62	70	67	66.33	66.5		The University of Notre Dame Fremantle	7	66.33																			3rd	0	0	0			WA Res				0	
30/08/2024 18:37:44	Non-Rural	65	72	61	66	64.75		Deakin University	6.76	64.75																			3rd	0	6	0	Did not apply						0	
30/08/2024 18:48:00	Non-Rural	56	64	68	62.67	64		The University of Western Australia	6.9	64	The University of Wollongong	6.9	64	The University of Notre Dame Fremantle	6.9	62.67				The University of Notre Dame Sydney	6.9	62.67	Australian National University	6.9	64	The University of Queensland (Greater Brisbane)	6.9	62.67	3rd	0	0	0			None	None			1	
